istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
022003,Aldeno,3374,493,2178,703,3192.0,447.0,2120.0,625.0,182.0,5.701754385964912,19.580200501253135,20.83580320094843,comparable_on_2025_geography
021001,Aldino/Aldein,1607,248,1036,323,1677.0,277.0,1082.0,318.0,-70.0,-4.174120453190221,18.962432915921287,20.099564405724955,comparable_on_2025_geography
095004,Ales,1249,80,737,432,1370.0,117.0,833.0,420.0,-121.0,-8.832116788321168,30.656934306569344,34.58767013610889,comparable_on_2025_geography
006003,Alessandria,92522,10543,57718,24261,93191.0,11341.0,57973.0,23877.0,-669.0,-0.717880482020796,25.621572898670475,26.221871554873438,comparable_on_2025_geography
078007,Alessandria del Carretto,352,20,177,155,411.0,10.0,221.0,180.0,-59.0,-14.355231143552311,43.79562043795621,44.034090909090914,comparable_on_2025_geography
084002,Alessandria della Rocca,2338,216,1374,748,2751.0,271.0,1702.0,778.0,-413.0,-15.012722646310433,28.280625227190114,31.993156544054745,comparable_on_2025_geography
075002,Alessano,5989,619,3762,1608,6352.0,763.0,3997.0,1592.0,-363.0,-5.714735516372796,25.06297229219144,26.84922357655702,comparable_on_2025_geography
075003,Alezio,5682,702,3594,1386,5616.0,792.0,3512.0,1312.0,66.0,1.1752136752136753,23.36182336182336,24.39281942977825,comparable_on_2025_geography
065004,Alfano,909,90,501,318,964.0,97.0,604.0,263.0,-55.0,-5.7053941908713695,27.282157676348547,34.98349834983499,comparable_on_2025_geography
066003,Alfedena,912,48,624,240,935.0,72.0,661.0,202.0,-23.0,-2.4598930481283423,21.604278074866308,26.31578947368421,comparable_on_2025_geography
017004,Alfianello,2304,285,1437,582,2428.0,309.0,1579.0,540.0,-124.0,-5.107084019769357,22.240527182866558,25.260416666666668,comparable_on_2025_geography
006004,Alfiano Natta,669,47,412,210,779.0,79.0,502.0,198.0,-110.0,-14.120667522464696,25.41720154043646,31.390134529147986,comparable_on_2025_geography
039001,Alfonsine,11607,1298,6872,3437,11834.0,1405.0,6919.0,3510.0,-227.0,-1.9182017914483693,29.66030082812236,29.61144137158611,comparable_on_2025_geography
090003,Alghero,41989,3781,26197,12011,42760.0,4329.0,27799.0,10632.0,-771.0,-1.803086997193639,24.864359214218894,28.605110862368715,comparable_on_2025_geography
016248,Algua,684,70,414,200,670.0,78.0,424.0,168.0,14.0,2.0895522388059704,25.07462686567164,29.239766081871345,comparable_on_2025_geography
083002,Alì,615,79,370,166,724.0,102.0,448.0,174.0,-109.0,-15.05524861878453,24.03314917127072,26.991869918699184,comparable_on_2025_geography
082001,Alia,3182,347,1897,938,3497.0,407.0,2092.0,998.0,-315.0,-9.007720903631684,28.538747497855304,29.478315524827153,comparable_on_2025_geography
077002,Aliano,836,75,492,269,946.0,80.0,547.0,319.0,-110.0,-11.627906976744185,33.72093023255814,32.177033492822964,comparable_on_2025_geography
006005,Alice Bel Colle,658,58,386,214,744.0,82.0,437.0,225.0,-86.0,-11.559139784946236,30.241935483870968,32.52279635258359,comparable_on_2025_geography
002004,Alice Castello,2491,292,1539,660,2570.0,309.0,1639.0,622.0,-79.0,-3.073929961089494,24.202334630350194,26.495383380168608,comparable_on_2025_geography
061002,Alife,7316,938,4819,1559,7442.0,1012.0,4954.0,1476.0,-126.0,-1.6930932545014783,19.833378124160173,21.309458720612355,comparable_on_2025_geography
082002,Alimena,1875,189,1123,563,1908.0,177.0,1141.0,590.0,-33.0,-1.729559748427673,30.92243186582809,30.026666666666667,comparable_on_2025_geography
082003,Aliminusa,1017,91,615,311,1152.0,113.0,710.0,329.0,-135.0,-11.71875,28.55902777777778,30.58013765978368,comparable_on_2025_geography
083003,Alì Terme,2305,273,1421,611,2413.0,303.0,1537.0,573.0,-108.0,-4.4757563199336925,23.74637380853709,26.507592190889373,comparable_on_2025_geography
095005,Allai,338,24,202,112,359.0,36.0,217.0,106.0,-21.0,-5.8495821727019495,29.526462395543174,33.13609467455622,comparable_on_2025_geography
025003,Alleghe,1088,106,650,332,1195.0,132.0,733.0,330.0,-107.0,-8.95397489539749,27.615062761506277,30.514705882352942,comparable_on_2025_geography
007001,Allein,205,16,128,61,213.0,25.0,127.0,61.0,-8.0,-3.755868544600939,28.638497652582164,29.756097560975608,comparable_on_2025_geography
055002,Allerona,1687,194,1007,486,1764.0,191.0,1075.0,498.0,-77.0,-4.365079365079365,28.2312925170068,28.80853586247777,comparable_on_2025_geography
075004,Alliste,6414,711,4132,1571,6606.0,835.0,4276.0,1495.0,-192.0,-2.9064486830154403,22.63094156827127,24.49329591518553,comparable_on_2025_geography
